city;population
Абака;181709
Альметьевс;154262
Ангарс;226374
Арзама;104547
Армави;190871
Арте;106732
Архангельс;351488
Астрахан;532504
Ачинс;105264
Балаков;191260
Балаших;450771
Барнау;633301
Батайс;124705
Белгоро;391135
Бердс;103290
Березник;145115
Бийс;203108
Благовещенс;224419
Братс;231602
Брянс;406553
Великий Новгоро;222594
Владивосто;606589
Владикавка;306978
Владими;356168
Волгогра;1015586
Волгодонс;171471
Волжски;326055
Вологд;313012
Вороне;1039801
Грозны;291687
Дербен;123162
Дзержинс;231797
Димитровгра;116055
Долгопрудны;104238
Домодедов;124285
Евпатори;106158
Екатеринбур;1455514
Еле;105016
Ессентук;107404
Железногорс;100671
Жуковски;108980
Златоус;167978
Иванов;406933
Ижевс;646277
Иркутс;623736
Йошкар-Ол;266675
Казан;1231878
Калинингра;467289
Калуг;341892
Каменск - Уральски;169929
Камыши;111775
Каспийс;113348
Кемеров;556920
Керч;149566
Киро;501468
Кисловодс;129861
Ковро;138552
Коломн;144125
Комсомольск-на-Амур;249810
Копейс;147573
Королё;221797
Костром;277648
Красногорс;153393
Краснода;881476
Красноярс;1082933
Курга;322042
Курс;449063
Кызы;116015
Липец;510439
Люберц;197705
Магнитогорс;418241
Майко;143343
Махачкал;592976
Миас;151856
Москв;12380664
Мурманс;298096
Муро;109809
Мытищ;205397
Набережные Челн;529797
Назран;116020
Нальчи;239200
Находк;151420
Невинномысс;117676
Нефтекамс;126805
Нефтеюганс;126157
Нижневартовс;274575
Нижнекамс;237250
Нижний Новгоро;1261666
Нижний Таги;355693
Новокузнец;552445
Новокуйбышевс;102933
Новомосковс;125647
Новороссийс;270774
Новосибирс;1602915
Новочебоксарс;126072
Новочеркасс;168766
Новошахтинс;108782
Новый Уренго;113254
Ногинс;102267
Норильс;178018
Ноябрьс;106879
Обнинс;113639
Одинцов;141493
Октябрьски;113929
Омс;1178391
Орё;318633
Оренбур;564443
Орехово-Зуев;119956
Орс;230414
Пенз;523726
Первоуральс;124447
Перм;1048005
Петрозаводс;278551
Петропавловск-Камчатски;180454
Подольс;299660
Прокопьевс;196406
Пско;209840
Пушкин;106577
Пятигорс;145836
Раменско;112989
Ростов-на-Дон;1125299
Рубцовс;145333
Рыбинс;190429
Рязан;537622
Салава;153181
Самар;1169719
Санкт-Петербур;5281579
Питер;5281579
Петербур;5281579
Саранс;314789
Сарато;845300
Севастопол;428753
Северодвинс;183996
Северс;107922
Сергиев Поса;104579
Серпухо;125929
Симферопол;341155
Смоленс;329853
Соч;411524
Ставропол;433577
Старый Оско;223360
Стерлитама;280233
Сургу;360590
Сызран;173260
Сыктывка;244646
Таганро;250287
Тамбо;290365
Твер;419363
Тольятт;710567
Томс;572740
Тул;485221
Тюмен;744554
Улан - Уд;431922
Ульяновс;624518
Уссурийс;170660
Уф;1115560
Хабаровс;616242
Хасавюр;140047
Химк;244668
Чебоксар;489498
Челябинс;1198858
Черепов;318856
Черкесс;122478
Чит;347088
Шахт;235492
Щёлков;125843
Электростал;158508
Элист;103899
Энгель;225752
Южно-Сахалинс;194882
Якутс;307911
Ярославл;608079
